,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,10,"((0, 'n'), 8.785349308535995)","((1, 'o'), 4.64558757990511)","((2, 'r'), 6.573342332415707)","((3, 'w'), 7.280567279457599)","((4, 'a'), 6.164460171114544)","((5, 'y'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
11,11,"((0, 'i'), 8.785349308535995)","((1, 'n'), 4.64558757990511)","((2, 'i'), 6.573342332415707)","((3, 't'), 7.280567279457599)","((4, 'i'), 6.164460171114544)","((5, 'a'), 5.244377828139847)","((6, 't'), 4.051664936872798)","((7, 'e'), 4.01935157472377)","((8, 'd'), 3.0599042910165313)","((9, '<END>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
12,12,"((0, 'r'), 8.785349308535995)","((1, 'o'), 4.64558757990511)","((2, 'b'), 6.573342332415707)","((3, 'e'), 7.280567279457599)","((4, 'r'), 6.164460171114544)","((5, 't'), 5.244377828139847)","((6, 's'), 4.051664936872798)","((7, '<END>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
13,13,"((0, 'a'), 8.785349308535995)","((1, 'z'), 4.64558757990511)","((2, 'e'), 6.573342332415707)","((3, 'r'), 7.280567279457599)","((4, 'b'), 6.164460171114544)","((5, 'a'), 5.244377828139847)","((6, 'i'), 4.051664936872798)","((7, 'j'), 4.01935157472377)","((8, 'a'), 3.0599042910165313)","((9, 'n'), 3.411367584555105)","((10, '<END>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
14,14,"((0, 'w'), 8.785349308535995)","((1, 'i'), 4.64558757990511)","((2, 's'), 6.573342332415707)","((3, 'd'), 7.280567279457599)","((4, 'o'), 6.164460171114544)","((5, 'm'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
15,15,"((0, 'a'), 8.785349308535995)","((1, 'l'), 4.64558757990511)","((2, 'u'), 6.573342332415707)","((3, 'm'), 7.280567279457599)","((4, 'i'), 6.164460171114544)","((5, 'n'), 5.244377828139847)","((6, 'i'), 4.051664936872798)","((7, 'u'), 4.01935157472377)","((8, 'm'), 3.0599042910165313)","((9, '<END>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
16,16,"((0, 'a'), 8.785349308535995)","((1, 's'), 4.64558757990511)","((2, 's'), 6.573342332415707)","((3, 'u'), 7.280567279457599)","((4, 'm'), 6.164460171114544)","((5, 'e'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
17,17,"((0, 'c'), 8.785349308535995)","((1, 'u'), 4.64558757990511)","((2, 'b'), 6.573342332415707)","((3, 'a'), 7.280567279457599)","((4, 'n'), 6.164460171114544)","((5, '<END>'), 5.244377828139847)","((6, '<MASK>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
18,18,"((0, 'e'), 8.785349308535995)","((1, 'x'), 4.64558757990511)","((2, 'a'), 6.573342332415707)","((3, 'm'), 7.280567279457599)","((4, 'i'), 6.164460171114544)","((5, 'n'), 5.244377828139847)","((6, 'e'), 4.051664936872798)","((7, 's'), 4.01935157472377)","((8, '<END>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
19,19,"((0, 's'), 8.785349308535995)","((1, 'h'), 4.64558757990511)","((2, 'a'), 6.573342332415707)","((3, 'd'), 7.280567279457599)","((4, 'e'), 6.164460171114544)","((5, 's'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
