,word,perplexity
0,plonmuk,10.218547111853654
1,smatnod,7.985275094627612
2,slodmog,8.74866502970293
3,klenmof,11.788311340237595
4,draknad,7.10976579461923
5,freblek,7.326479218344815
6,praflak,6.067891695198854
7,trosnot,5.948306591468183
8,kravmal,7.9481701584579945
9,snadmak,11.83769234011569
10,slanmot,5.776592955948617
11,flakmal,8.11434784492885
12,flamrad,6.25392965986749
13,plafnut,6.873830798842667
14,franmet,4.976851943944955
15,smolrog,8.113968359191945
16,klopnog,7.588521496431133
17,blafron,7.084089005029184
18,tramlut,7.078221493153287
19,froslak,6.8402454282106495
20,snogmot,8.137052677891278
21,granlat,5.853428258952957
22,kragnel,7.286500172050781
23,greflek,6.040630514502592
24,flonmog,7.992577359726981
25,trelnat,4.956529183677641
26,flibnep,7.368994716262679
27,dranlat,4.631783688257123
28,traflam,6.625502908191117
29,grofnom,8.840177844426197
30,drofmok,9.871701094702438
31,blatnog,6.194933233545564
32,premlek,6.561142512291341
33,blasnol,6.643154674419458
34,stimkam,9.01889388534637
