,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,0,"((0, 'k'), 27.064742238061537)","((1, 'l'), 9.836303206969468)","((2, 'o'), 1.8657495765577563)","((3, 'p'), 12.889417127529882)","((4, 'l'), 10.567348115007901)","((5, 'o'), 6.8643917486975905)","((6, 'p'), 18.149634034084904)","((7, '<END>'), 3.073586812221048)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
11,0,"((0, 'f'), 9.82811065164585)","((1, 'l'), 7.349877055438098)","((2, 'a'), 3.9217972162721484)","((3, 'k'), 21.372469264453272)","((4, 'l'), 39.48493158854869)","((5, 'a'), 4.823978968964334)","((6, 'k'), 13.256163917192582)","((7, '<END>'), 2.2111767817889736)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
12,0,"((0, 'f'), 10.013258772582647)","((1, 'r'), 6.421375250466564)","((2, 'o'), 3.515864256351906)","((3, 's'), 7.384062032153549)","((4, 'r'), 11.697703326985259)","((5, 'o'), 2.548328808639745)","((6, 's'), 3.9563703204691087)","((7, '<END>'), 3.165745073592211)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
13,0,"((0, 'd'), 12.670469047546339)","((1, 'r'), 13.036269617617183)","((2, 'a'), 2.7000158964590524)","((3, 'k'), 51.406993229477024)","((4, 'r'), 11.65934301939652)","((5, 'a'), 4.810637860450549)","((6, 'k'), 21.488477045039904)","((7, '<END>'), 3.308623970110751)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
14,0,"((0, 's'), 6.088030674628789)","((1, 'n'), 23.64238166453111)","((2, 'o'), 4.311048113631394)","((3, 'g'), 7.6627786998965055)","((4, 'n'), 15.59712221024683)","((5, 'o'), 5.738665312208108)","((6, 'g'), 18.339940547337914)","((7, '<END>'), 3.2415699498012165)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
15,0,"((0, 'f'), 10.83273207335432)","((1, 'l'), 12.419078280390801)","((2, 'i'), 2.7738169188532407)","((3, 'b'), 10.537787140944138)","((4, 'l'), 6.4195322260324374)","((5, 'i'), 2.7842872031638235)","((6, 'b'), 19.122892456545927)","((7, '<END>'), 8.888317209202073)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
16,0,"((0, 'g'), 10.167922172423326)","((1, 'r'), 4.317586143107136)","((2, 'o'), 3.052902868361849)","((3, 'f'), 10.409572696945515)","((4, 'r'), 8.865996336327282)","((5, 'o'), 5.084424881850816)","((6, 'f'), 21.525625924996913)","((7, '<END>'), 6.421061145578245)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
17,0,"((0, 'k'), 18.293264441533054)","((1, 'r'), 5.337112766622911)","((2, 'a'), 5.12911377476313)","((3, 'v'), 12.246990135178136)","((4, 'r'), 43.3482538114176)","((5, 'a'), 4.7724362724146365)","((6, 'v'), 20.418928420305647)","((7, '<END>'), 4.142683834882448)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
18,0,"((0, 'p'), 4.502245604296432)","((1, 'r'), 3.018450067602342)","((2, 'a'), 3.2680016532765026)","((3, 'f'), 27.301843712553552)","((4, 'r'), 14.237898571940423)","((5, 'a'), 4.867560239628917)","((6, 'f'), 25.68349755117376)","((7, '<END>'), 4.000354331344595)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
19,0,"((0, 'f'), 8.901739639489628)","((1, 'r'), 8.753010728900975)","((2, 'a'), 3.1828382350759448)","((3, 'n'), 5.90856113340583)","((4, 'r'), 20.75640184148969)","((5, 'a'), 4.703226861796276)","((6, 'n'), 5.012872634231336)","((7, '<END>'), 5.959451598359173)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
